"id","journal","publication_date","author","author_affiliate","author_notes","competing_interest","publication_year","publication_month","first_author","first_author_initials","author_count","competing_interest_boolean","nr_conceived","nr_performed","nr_analyzed","nr_wrote"
"10.1371_journal.pbio.0060015","plos biology","2008-01-29T00:00:00Z","Xingxu Huang; Claudia V Andreu-Vieyra; J Philippe York; Rashieda Hatcher; Tao Lu; Martin M Matzuk; Pumin Zhang","Department of Molecular Physiology and Biophysics, Baylor College of Medicine, Houston, Texas, United States of America; Department of Pathology, Baylor College of Medicine, Houston, Texas, United States of America; Department of Experimental Therapeutics, University of Texas MD Anderson Cancer Center, Houston, Texas, United States of America; Department of Biochemistry and Molecular Biology, Baylor College of Medicine, Houston, Texas, United States of America","PZ and XH conceived and designed the experiments. XH, CVAV, JPY, RH, and TL performed the experiments. XH analyzed the data. MMM contributed reagents. PZ wrote the paper.","The authors have declared that no competing interests exist.","2008","01","Xingxu Huang","XH",7,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"10.1371_journal.pbio.1001112","plos biology","2011-07-26T00:00:00Z","Hai Zhang; Guo Zhang; Frank J Gonzalez; Sung-min Park; Dongsheng Cai","Department of Molecular Pharmacology, Albert Einstein College of Medicine, Bronx, New York, United States of America; Department of Physiology, University of Wisconsin–Madison, Madison, Wisconsin, United States of America; Cellular & Molecular Biology Program, University of Wisconsin–Madison, Madison, Wisconsin, United States of America; Center for Cancer Research, National Cancer Institute, Bethesda, Maryland, United States of America; Dominick P. Purpura Department of Neuroscience, Albert Einstein College of Medicine, Bronx, New York, United States of America; Diabetes Research Center, Albert Einstein College of Medicine, Bronx, New York, United States of America","The author(s) have made the following declarations about their contributions: Conceived and designed the experiments: dc. Performed the experiments: HZ GZ SP. Analyzed the data: HZ GZ DC. Contributed reagents/materials/analysis tools: FJG. Wrote the paper: DC.","The authors have declared that no competing interests exist.","2011","07","Hai Zhang","HZ",5,FALSE,5,3,3,1,TRUE,TRUE,FALSE,0,NA,FALSE
"10.1371_journal.pbio.1001115","plos biology","2011-07-26T00:00:00Z","Hannah S Seidel; Michael Ailion; Jialing Li; Alexander van Oudenaarden; Matthew V Rockman; Leonid Kruglyak","Department of Ecology and Evolutionary Biology, Princeton University, Princeton, New Jersey, United States of America; Lewis-Sigler Institute for Integrative Genomics, Princeton University, Princeton, New Jersey, United States of America; Department of Biology, University of Utah, Salt Lake City, Utah, United States of America; Department of Physics, Massachusetts Institute of Technology, Cambridge, Massachusetts, United States of America; Department of Biology, Massachusetts Institute of Technology, Cambridge, Massachusetts, United States of America; Department of Biology, New York University, New York, New York, United States of America; Center for Genomics and Systems Biology, New York University, New York, New York, United States of America; Howard Hughes Medical Institute, Chevy Chase, Maryland, United States of America","The author(s) have made the following declarations about their contributions: Conceived and designed the experiments: HSS MA MVR LK. Performed the experiments: HSS MA JL MVR. Analyzed the data: HSS MA. Contributed reagents/materials/analysis tools: HSS MA JL AO. Wrote the paper: HSS, with input from MA MVR LK.","The authors have declared that no competing interests exist.","2011","07","Hannah S Seidel","HSS",6,FALSE,5,4,2,7,TRUE,TRUE,FALSE,0,NA,FALSE
"10.1371_journal.pbio.1001117","plos biology","2011-08-02T00:00:00Z","Song Yi; Nidhi Sahni; Karla J Daniels; Kevin L Lu; Thyagarajan Srikantha; Guanghua Huang; Adam M Garnaas; David R Soll","Department of Biology, The University of Iowa, Iowa City, Iowa, United States of America","The author(s) have made the following declarations about their contributions: Conceived and designed the experiments: SY NS KJD DRS. Performed the experiments: SY NS KJD KLL GH TS AMG. Analyzed the data: SY NS KJD DRS. Wrote the paper: SY NS KJD DRS.","The authors have declared that no competing interests exist.","2011","08","Song Yi","SY",8,FALSE,5,7,4,4,TRUE,TRUE,FALSE,0,NA,FALSE
"10.1371_journal.pbio.1001121","plos biology","2011-08-09T00:00:00Z","Grigorios Oikonomou; Elliot A Perens; Yun Lu; Shigeki Watanabe; Erik M Jorgensen; Shai Shaham","Laboratory of Developmental Genetics, The Rockefeller University, New York, New York, United States of America; Howard Hughes Medical Institute, Department of Biology, University of Utah, Salt Lake City, Utah, United States of America","The author(s) have made the following declarations about their contributions: Conceived and designed the experiments: GO EAP EMJ SS. Performed the experiments: GO EAP SW YL. Analyzed the data: GO EAP SW EMJ SS.","The authors have declared that no competing interests exist.","2011","08","Grigorios Oikonomou","GO",6,FALSE,5,4,5,NA,TRUE,TRUE,FALSE,0,NA,FALSE
"10.1371_journal.pbio.1001122","plos biology","2011-08-09T00:00:00Z","John H. Koschwanez; Kevin R. Foster; Andrew W. Murray","FAS Center for Systems Biology, Harvard University, Cambridge, Massachusetts, United States of America; Department of Molecular and Cellular Biology, Harvard University, Cambridge, Massachusetts, United States of America; Department of Zoology, University of Oxford, Oxford, United Kingdom; Oxford Center for Integrative Systems Biology, University of Oxford, Oxford, United Kingdom","The author(s) have made the following declarations about their contributions: Conceived and designed the experiments: JHK KRF AWM. Performed the experiments: JHK. Analyzed the data: JHK KRF AWM. Wrote the paper: JHK KRF AWM.","The authors have declared that no competing interests exist.","2011","08","John H. Koschwanez","JHK",3,FALSE,5,1,3,3,TRUE,TRUE,FALSE,0,NA,FALSE
"10.1371_journal.pbio.1001125","plos biology","2011-08-16T00:00:00Z","Eva K F Chan; Heather C Rowe; Jason A Corwin; Bindu Joseph; Daniel J Kliebenstein","Department of Plant Sciences, University of California–Davis, Davis, California, United States of America; Monsanto Company, Vegetable Seeds Division, Woodland, California, United States of America","The author(s) have made the following declarations about their contributions: Conceived and designed the experiments: EKFC HCR JAC BJ DJK. Performed the experiments: EKFC HCR JAC BJ. Analyzed the data: EKFC HCR JAC BJ DJK. Contributed reagents/materials/analysis tools: EKFC HCR JAC. Wrote the paper: EKFC HCR JAC BJ DJK.","The authors have declared that no competing interests exist.","2011","08","Eva K F Chan","EKFC",5,FALSE,5,4,5,5,TRUE,TRUE,FALSE,0,NA,FALSE
"10.1371_journal.pbio.1001126","plos biology","2011-08-16T00:00:00Z","Colin D Meiklejohn; Emily L Landeen; Jodi M Cook; Sarah B Kingan; Daven C Presgraves","Department of Biology, University of Rochester, Rochester, New York, United States of America","The author(s) have made the following declarations about their contributions: Conceived and designed the experiments: CDM ELL DCP. Performed the experiments: CDM ELL JMC. Analyzed the data: CDM SBK. Contributed reagents/materials/analysis tools: CDM DCP. Wrote the paper: CDM DCP.","The authors have declared that no competing interests exist.","2011","08","Colin D Meiklejohn","CDM",5,FALSE,5,3,2,2,TRUE,TRUE,FALSE,0,NA,FALSE
"10.1371_journal.pbio.1001127","plos biology","2011-08-23T00:00:00Z","Camilo Mora; Derek P Tittensor; Sina Adl; Alastair G B Simpson; Boris Worm","Department of Biology, Dalhousie University, Halifax, Nova Scotia, Canada; Department of Geography, University of Hawaii, Honolulu, Hawaii, United States of America; United Nations Environment Programme World Conservation Monitoring Centre, Cambridge, United Kingdom; Microsoft Research, Cambridge, United Kingdom","The author(s) have made the following declarations about their contributions: Conceived and designed the experiments: CM DPT BW. Analyzed the data: CM DPT. Wrote the paper: CM DPT SA AGBS BW. Reviewed higher taxonomy: CM SA AGBS.","The authors have declared that no competing interests exist.","2011","08","Camilo Mora","CM",5,FALSE,5,NA,2,5,TRUE,TRUE,FALSE,0,NA,FALSE
"10.1371_journal.pbio.1001128","plos biology","2011-08-23T00:00:00Z","Stefan Dröse; Stephanie Krack; Lucie Sokolova; Klaus Zwicker; Hans-Dieter Barth; Nina Morgner; Heinrich Heide; Mirco Steger; Esther Nübel; Volker Zickermann; Stefan Kerscher; Bernhard Brutschy; Michael Radermacher; Ulrich Brandt","Molecular Bioenergetics Group, Medical School, Cluster of Excellence Frankfurt “Macromolecular Complexes,” Center for Membrane Proteomics, Johann Wolfgang Goethe-Universität, Frankfurt, Germany; Institute of Physical and Theoretical Chemistry, Cluster of Excellence Frankfurt “Macromolecular Complexes,” Centre for Membrane Proteomics, Johann Wolfgang Goethe-Universität, Frankfurt, Germany; University of Vermont, College of Medicine, Department of Molecular Physiology and Biophysics, Burlington, Vermont, United States of America","The author(s) have made the following declarations about their contributions: Conceived and designed the experiments: UB SD SKe BB MR. Performed the experiments: SKr SKe LS NM HDB HH EN KZ MS MR. Analyzed the data: UB SD SKr HH KZ MR BB. Contributed reagents/materials/analysis tools: VZ. Wrote the paper: UB SD MR.","The authors have declared that no competing interests exist.","2011","08","Stefan Dröse","SD",14,FALSE,5,9,7,3,TRUE,TRUE,FALSE,0,NA,FALSE
