"id","journal","publication_date","author","author_affiliate","author_notes","competing_interest","nr_pval","nr_error","nr_gross_error","publication_year","publication_month","first_author","first_author_initials","author_count","competing_interest_boolean","nr_conceived","nr_performed","nr_analyzed","nr_wrote"
"10.1371_journal.pcbi.1002162","plos computational biology","2011-10-06T00:00:00Z","Vadas Gintautas; Michael I Ham; Benjamin Kunsberg; Shawn Barr; Steven P Brumby; Craig Rasmussen; John S George; Ilya Nemenman; Luís M A Bettencourt; Garret T Kenyon","Center for Nonlinear Studies and T-5, Theoretical Division, Los Alamos National Laboratory, Los Alamos, New Mexico, United States of America; Physics Department, Chatham University, Pittsburgh, Pennsylvania, United States of America; P-21 Applied Modern Physics (Biological and Quantum Physics), Los Alamos National Laboratory, Los Alamos, New Mexico, United States of America; New Mexico Consortium, Los Alamos, New Mexico, United States of America; Space and Remote Sensing Sciences, Los Alamos National Laboratory, Los Alamos, New Mexico, United States of America; Departments of Physics and Biology and Computational and Life Sciences Initiative, Emory University, Atlanta, Georgia, United States of America","Conceived and designed the experiments: VG JSG IN LMAB GTK. Performed the experiments: MIH SB. Analyzed the data: VG MIH BK SB GTK. Contributed reagents/materials/analysis tools: SPB CR GTK. Wrote the paper: VG IN LMAB GTK. Conceived the research program: JSG IN LMAB GTK. Designed and implemented model cortical association fields: VG GTK.","The authors have declared that no competing interests exist.",NA,NA,NA,"2011","10","Vadas Gintautas","VG",10,FALSE,5,2,5,4,TRUE,TRUE,FALSE,0,NA,FALSE
"10.1371_journal.pcbi.1002382","plos computational biology","2012-02-16T00:00:00Z","Johannes Rüter; Nicolas Marcille; Henning Sprekeler; Wulfram Gerstner; Michael H Herzog","Laboratory of Psychophysics, Brain Mind Institute, École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland; Laboratory of Computational Neuroscience, Brain Mind Institute and School of Computer and Communication Sciences, École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland","Conceived and designed the experiments: JR WG MHH. Performed the experiments: JR NM. Analyzed the data: JR NM HS. Contributed reagents/materials/analysis tools: NM HS. Wrote the paper: JR NM HS WG MHH.","The authors have declared that no competing interests exist.",NA,NA,NA,"2012","02","Johannes Rüter","JR",5,FALSE,3,2,3,5,TRUE,TRUE,FALSE,0,NA,FALSE
"10.1371_journal.pcbi.1002453","plos computational biology","2012-04-12T00:00:00Z","Tom Putzeys; Matthias Bethge; Felix Wichmann; Johan Wagemans; Robbe Goris","Laboratory of Experimental Psychology, University of Leuven, Leuven, Belgium; Werner Reichardt Centre for Integrative Neuroscience and Institute of Theoretical Physics, University of Tübingen, Tübingen, Germany; Max Planck Institute for Biological Cybernetics, Computational Vision and Neuroscience Group, Tübingen, Germany; Bernstein Centre for Computational Neuroscience, Tübingen, Germany; AG Neuronale Informationsverarbeitung, Mathematisch-Naturwissenschaftliche Fakultät, Eberhard Karls Universität Tübingen, Tübingen, Germany; Max Planck Institute for Intelligent Systems, Abteilung Empirische Inferenz, Tübingen, Germany; Center for Neural Science, New York University, New York, New York, United States of America","Conceived and designed the experiments: TP. Performed the experiments: TP. Analyzed the data: TP. Wrote the paper: TP. Provided support and helped in writing the paper: JW. Provided support and helped in designing the project, performing the computational modelling and writing the paper: RG MB FW.","The authors have declared that no competing interests exist.",NA,NA,NA,"2012","04","Tom Putzeys","TP",5,FALSE,1,1,1,1,TRUE,TRUE,FALSE,0,NA,FALSE
"10.1371_journal.pcbi.1004555","plos computational biology","2015-11-12T00:00:00Z","James Rankin; Elyse Sussman; John Rinzel","Center for Neural Science, New York University, New York, New York, United States of America; Dominick P. Purpura Department of Neuroscience, Albert Einstein College of Medicine, Bronx, New York, United States of America; Department of Otorhinolaryngology-HNS, Albert Einstein College of Medicine, Bronx, New York, United States of America; Courant Institute of Mathematical Sciences, New York University, New York, New York, United States of America","Conceived and designed the experiments: JRa ES JRi. Performed the experiments: JRa. Analyzed the data: JRa. Wrote the paper: JRa JRi. Conceived the model: JRa JRi. Implemented the model: JRa.","The authors have declared that no competing interests exist.",8,2,0,"2015","11","James Rankin","JR",3,FALSE,2,1,1,1,FALSE,FALSE,TRUE,2,"1;3",TRUE
"10.1371_journal.pone.0004205","plos one","2009-01-15T00:00:00Z","Timothy Hospedales; Sethu Vijayakumar","Institute of Perception, Action and Behaviour, School of Informatics, University of Edinburgh, Edinburgh, United Kingdom","Conceived and designed the experiments: TH SV. Performed the experiments: TH. Analyzed the data: TH SV. Wrote the paper: TH SV.","The authors have declared that no competing interests exist.",NA,NA,NA,"2009","01","Timothy Hospedales","TH",2,FALSE,2,1,2,2,TRUE,TRUE,FALSE,0,NA,FALSE
"10.1371_journal.pone.0005614","plos one","2009-05-19T00:00:00Z","Wolf E Mehling; Viranjini Gopisetty; Jennifer Daubenmier; Cynthia J Price; Frederick M Hecht; Anita Stewart","Osher Center for Integrative Medicine, University of California San Francisco, San Francisco, California, United States of America; Department of Family and Community Medicine, University of California San Francisco, San Francisco, California, United States of America; Department of Medicine, University of California San Francisco, San Francisco, California, United States of America; Department of Psychosocial and Community Health Nursing, University of Washington, Seattle, Washington, United States of America; Department of Social and Behavioral Sciences, Institute for Health & Aging, University of California San Francisco, San Francisco, California, United States of America","Conceived and designed the experiments: WEM JD CJP FMH AS. Analyzed the data: WEM VG JD CJP. Wrote the paper: WEM JD CJP FMH AS.","The authors have declared that no competing interests exist.",NA,NA,NA,"2009","05","Wolf E Mehling","WEM",6,FALSE,5,NA,4,5,TRUE,TRUE,FALSE,0,NA,FALSE
"10.1371_journal.pone.0005664","plos one","2009-05-27T00:00:00Z","Cesare Valerio Parise; Charles Spence","Crossmodal Research Laboratory, Department of Experimental Psychology, University of Oxford, Oxford, United Kingdom","Conceived and designed the experiments: CVP CS. Performed the experiments: CVP. Analyzed the data: CVP. Contributed reagents/materials/analysis tools: CS. Wrote the paper: CVP CS.","The authors have declared that no competing interests exist.",NA,NA,NA,"2009","05","Cesare Valerio Parise","CVP",2,FALSE,2,1,1,2,TRUE,TRUE,FALSE,0,NA,FALSE
"10.1371_journal.pone.0005802","plos one","2009-06-03T00:00:00Z","Peter DeScioli; Robert Kurzban","University of Pennsylvania, Philadelphia, Pennsylvania, United States of America","Conceived and designed the experiments: PD RK. Performed the experiments: PD RK. Analyzed the data: PD. Wrote the paper: PD RK.","The authors have declared that no competing interests exist.",NA,NA,NA,"2009","06","Peter DeScioli","PDS",2,FALSE,2,2,1,2,TRUE,TRUE,FALSE,0,NA,FALSE
"10.1371_journal.pone.0005952","plos one","2009-06-22T00:00:00Z","Susan B Perlman; James P Morris; Brent C Vander Wyk; Steven R Green; Jaime L Doyle; Kevin A Pelphrey","Yale Child Study Center, Yale University, New Haven, Connecticut, United States of America; Department of Psychology, University of Virginia, Charlottesville, Virginia, United States of America; Brain Imaging and Analysis Center, Duke University, Durham, North Carolina, United States of America","Conceived and designed the experiments: JPM. Performed the experiments: JD. Analyzed the data: SP KP. Contributed reagents/materials/analysis tools: SP SRG KP. Wrote the paper: SP BVW KP.","The authors have declared that no competing interests exist.",7,5,2,"2009","06","Susan B Perlman","SBP",6,FALSE,1,1,2,3,TRUE,TRUE,FALSE,0,NA,FALSE
"10.1371_journal.pone.0007432","plos one","2009-10-13T00:00:00Z","Ilmari Kurki; Tarja Peromaa; Aapo Hyvärinen; Jussi Saarinen","Department of Psychology, University of Helsinki, Helsinki, Finland; Department of Computer Science and HIIT, University of Helsinki, Helsinki, Finland; Department of Mathematics and Statistics, University of Helsinki, Helsinki, Finland","Conceived and designed the experiments: IK TP. Performed the experiments: IK. Analyzed the data: IK TP AH. Wrote the paper: IK TP AH JS.","The authors have declared that no competing interests exist.",NA,NA,NA,"2009","10","Ilmari Kurki","IK",4,FALSE,2,1,3,4,TRUE,TRUE,FALSE,0,NA,FALSE
