"id","journal","publication_date","author","author_affiliate","author_notes","competing_interest"
"10.1371/journal.pone.0003620","plos one","2008-10-31T00:00:00Z","Mary-Anne Enoch; Pei-Hong Shen; Francesca Ducci; Qiaoping Yuan; Jixia Liu; Kenneth V White; Bernard Albaugh; Colin A Hodgkinson; David Goldman","Laboratory of Neurogenetics, National Institute on Alcohol Abuse and Alcoholism, National Institutes of Health, Bethesda, Maryland, United States of America; Center for Human Behavior Studies, Inc, Weatherford, Oklahoma, United States of America","Conceived and designed the experiments: MAE PHS FD CAH DG. Performed the experiments: PHS JL KW BA CAH. Analyzed the data: MAE PHS FD QY DG. Wrote the paper: MAE PHS FD QY JL KW BA CAH DG.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0015397","plos one","2010-11-19T00:00:00Z","Darran G Cronshaw; Yuchun Nie; Janelle Waite; Yong-Rui Zou","Center for Autoimmune and Musculoskeletal Diseases, Feinstein Institute for Medical Research, Manhasset, New York, United States of America","Conceived and designed the experiments: DC YZ. Performed the experiments: DC YN YZ. Analyzed the data: DC YZ. Contributed reagents/materials/analysis tools: JW YZ. Wrote the paper: DC YZ.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0117668","plos one","2015-02-06T00:00:00Z","Klaus B Nissen; Linda M Haugaard-Kedström; Theis S Wilbek; Line S Nielsen; Emma Åberg; Anders S Kristensen; Anders Bach; Per Jemth; Kristian Strømgaard","Department of Drug Design and Pharmacology, University of Copenhagen, Universitetsparken 2, Copenhagen, Denmark; Department of Medical Biochemistry and Microbiology, Uppsala University, Biomedical Centre, Uppsala, Sweden","Conceived and designed the experiments: KBN AB PJ KS. Performed the experiments: KBN LHK LN TSW EÅ PJ. Analyzed the data: KBN LHK LN TSW EÅ ASK AB PJ KS. Wrote the paper: KBN LHK AB PJ KS.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0060700","plos one","2013-04-09T00:00:00Z","Guangrong Hu; Yong Fan; Lei Zhang; Cheng Yuan; Jufang Wang; Wenjian Li; Qiang Hu; Fuli Li","Shandong Provincial Key Laboratory of Energy Genetics, Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences, Qingdao, PR China; Institute of Modern Physics, Chinese Academy of Sciences, Lanzhou, PR China; Laboratory for Algae Research and Biotechnology (LARB), College of Technology and Innovation, Arizona State University, Mesa, Arizona, United States of America","Conceived and designed the experiments: GH FL. Performed the experiments: YF LZ CY. Analyzed the data: GH. Contributed reagents/materials/analysis tools: JW WL. Wrote the paper: GH FL QH.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0083637","plos one","2013-12-10T00:00:00Z","Harry Horsley; James Malone-Lee; David Holland; Madeleine Tuz; Andrew Hibbert; Michael Kelsey; Anthony Kupelian; Jennifer L Rohn","Centre for Clinical Science and Technology, Research Department of Clinical Physiology, Division of Medicine, University College London, London, United Kingdom; Imaging Suite, Royal Veterinary College, London, United Kingdom; Department of Microbiology, The Whittington Hospital NHS Trust, London, United Kingdom","Conceived and designed the experiments: HH JML JLR. Performed the experiments: HH JML JLR DH MT AK AH. Analyzed the data: HH JML JLR AH MK. Contributed reagents/materials/analysis tools: HH JML JLR AH MK. Wrote the manuscript: HH JML JLR AK.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0037719","plos one","2012-05-30T00:00:00Z","Patrick Wessa; Ian E Holliday","Leuven Institute for Research on Information Systems, K.U. Leuven, Leuven, Belgium; Aston Brain Centre, Aston University, Aston Triangle, Birmingham, United Kingdom","Conceived and designed the experiments: PW. Performed the experiments: PW. Analyzed the data: PW IEH. Contributed reagents/materials/analysis tools: PW IEH. Wrote the paper: PW IEH. Designed the software used in analysis: PW IEH.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0094782","plos one","2014-04-14T00:00:00Z","Sophie Kittler; Samuel Fischer; Amir Abdulmawjood; Gerhard Glünder; Günter Klein","Institute of Food Quality and Food Safety, University of Veterinary Medicine Hannover, Hannover, Germany; Clinic for Poultry, University of Veterinary Medicine Hannover, Hannover, Germany","Conceived and designed the experiments: SK SF AA GG GK. Performed the experiments: SK AA. Analyzed the data: SK AA GK. Contributed reagents/materials/analysis tools: GK. Wrote the paper: SK SF AA GG GK.","The authors have the following interest. The phages for this study were supplied by Lohmann Animal Health Company, Cuxhaven, Germany. This does not alter the authors' adherence to all the PLOS ONE policies on sharing data and materials."
"10.1371/journal.pone.0003624","plos one","2008-11-04T00:00:00Z","Miguel A Aon; Marc R Roussel; Sonia Cortassa; Brian O'Rourke; Douglas B Murray; Manfred Beckmann; David Lloyd","The Johns Hopkins University Institute of Molecular Cardiobiology, Baltimore, Maryland, United States of America; Department of Chemistry and Biochemistry, University of Lethbridge, Lethbridge, Alberta, Canada; Institute for Advanced Biosciences, Keio University, Tsuruoka City, Yamagata, Japan; Institute of Biological Sciences, University of Wales, Aberystwyth, Wales, United Kingdom; Microbiology Group, Cardiff School of Biosciences, Cardiff University, Cardiff, Wales, United Kingdom","Conceived and designed the experiments: MAA MRR BO DBM MB DL. Performed the experiments: MAA MRR DL. Analyzed the data: MAA MRR SC DL. Contributed reagents/materials/analysis tools: MAA MRR SC BO DL. Wrote the paper: MAA MRR SC BO DBM MB DL.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0083636","plos one","2013-12-31T00:00:00Z","Katarzyna Kisiel-Sajewicz; Vlodek Siemionow; Dilara Seyidova-Khoshknabi; Mellar P Davis; Alexandria Wyant; Vinoth K Ranganathan; Declan Walsh; Jin H Yan; Juliet Hou; Guang H Yue","Department of Biomedical Engineering, the Lerner Research Institute, the Cleveland Clinic, Cleveland, Ohio, United States of America; The Harry R. Horvitz Center for Palliative Medicine, the Taussig Cancer Center, the Cleveland Clinic, Cleveland, Ohio, United States of America; Department of Physical Medicine and Rehabilitation, the Neurological Institute, the Cleveland Clinic, Cleveland, Ohio, United States of America; Department of Kinesiology, Faculty of Physiotherapy, University School of Physical Education in Wroclaw, Wroclaw, Poland; Institute of Affective and Social Neuroscience, Shenzhen University, Shenzhen; Department of Psychology, Tsinghuan University, Beijing, China; Kessler Foundation Research Center, West Orange, New Jersey, United States of America","Conceived and designed the experiments: MD JH DW KK JY GY. Performed the experiments: KK VR DS VS AW. Analyzed the data: MD KK DS VS VR GY JY. Wrote the paper: KK GY. Reviewed and revised the manuscript: MD JH KK DW GY JY. Provided statistical expertise: KK DS VS GY.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0094779","plos one","2014-05-15T00:00:00Z","Zhifeng Xu; Wenyi Zhu; Yanchao Liu; Xing Liu; Qiushuang Chen; Miao Peng; Xiangzun Wang; Guangmao Shen; Lin He","Key Laboratory of Entomology and Pest Control Engineering of Chongqing, College of Plant Protection, Southwest University, Chongqing, China","Conceived and designed the experiments: LH. Performed the experiments: ZFX WYZ. Analyzed the data: ZFX WYZ QSC MP XZW YCL. Contributed reagents/materials/analysis tools: LH GMS. Wrote the paper: LH ZFX WYZ GMS XL.","The authors have declared that no competing interests exist."
