"id","journal","publication_date","author","author_affiliate","author_notes","competing_interest"
"10.1371/journal.pone.0038206","plos one","2012-05-29T00:00:00Z","Joshua W Hustedt; Celia Christie; Madison M Hustedt; Daina Esposito; Marietta Vazquez","Division of Infectious Diseases, Department of Pediatrics, Yale University School of Medicine, New Haven, Connecticut, United States of America; Department of Pediatrics, University of the West Indies, Kingston, Jamaica","Conceived and designed the experiments: JWH CC MMH DE MV. Performed the experiments: JWH CC MMH DE MV. Analyzed the data: JWH CC MMH DE MV. Contributed reagents/materials/analysis tools: JWH CC MMH DE MV. Wrote the paper: JWH CC MMH DE MV.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0049610","plos one","2012-11-13T00:00:00Z","Iliyana Mikell; Leonidas Stamatatos","Seattle BioMed, Seattle, Washington, United States of America; Department of Global Health, University of Washington, Seattle, Washington, United States of America","Conceived and designed the experiments: IM LS. Performed the experiments: IM. Analyzed the data: IM LS. Contributed reagents/materials/analysis tools: IM LS. Wrote the paper: IM LS.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0106682","plos one","2014-09-03T00:00:00Z","Jeroen Paardekooper Overman; Christian Preisinger; Karin Prummel; Monica Bonetti; Piero Giansanti; Albert Heck; Jeroen den Hertog","Hubrecht Institute-Koninklijke Nederlandse Akademie van Wetenschappen and University Medical Center Utrecht, Utrecht, The Netherlands; Biomolecular Mass Spectrometry and Proteomics, Bijvoet Center for Biomolecular Research and Utrecht Institute for Pharmaceutical Research, Utrecht University, Utrecht, The Netherlands; Netherlands Proteomics Centre, Utrecht, The Netherlands; Proteomics Facility, Interdisciplinary Centre for Clinical Research Aachen, Aachen University, Aachen, Germany; Centre for Biomedical Genetics, Utrecht, The Netherlands; Institute Biology Leiden, Leiden, The Netherlands","Conceived and designed the experiments: JPO JdH. Performed the experiments: JPO CP KP MB. Analyzed the data: JPO CP KP MB PG JdH. Contributed reagents/materials/analysis tools: AH. Contributed to the writing of the manuscript: JPO CP KP MB PG JdH.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0150119","plos one","2016-03-18T00:00:00Z","Olivia Oxlade; Jordan Sugarman; Gonzalo G Alvarez; Madhukar Pai; Kevin Schwartzman","Respiratory Epidemiology and Clinical Research Unit, Department of Epidemiology, McGill University, Montreal, QC, Canada; McGill International Tuberculosis Centre, McGill University, Montreal, QC, Canada; Clinical Epidemiology, The Ottawa Hospital Research Institute, Ottawa, ON, Canada; Division of Respirology, Department of Medicine, University of Ottawa, Ottawa, ON, Canada","Conceived and designed the experiments: OO GA MP KS. Performed the experiments: OO GA JS KS. Analyzed the data: OO GA JS KS. Contributed reagents/materials/analysis tools: GA MP. Wrote the paper: OO GA JS MP KS.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0118195","plos one","2015-02-12T00:00:00Z","Bernd Schmidt; Julia Beyer; Dimo Dietrich; Ines Bork; Volker Liebenberg; Michael Fleischhacker","Clinic for Internal Medicine I, Department of Pneumology, UKH, Halle/Saale, Germany; University Hospital Bonn, Institute of Pathology, Bonn, Germany; Metanomics Health GmbH, Berlin, Germany","Conceived and designed the experiments: BS MF. Performed the experiments: JB. Analyzed the data: BS JB DD IB VL MF. Contributed reagents/materials/analysis tools: DD IB. Wrote the paper: BS DD VL MF. Collection of patient samples: IB JB.","Volker Liebenberg has been employed by Metanomics Health GmbH from 2010 until July 2012. Metanomics Health GmbH is a 100% subsidiary of BASF, chemical company and has not been active in research or development of DNA related lung cancer biomarkers before or during the time of Volker Liebenberg’s employment. Volker Liebenberg and Dimo Dietrich have been employees and are stockholders of Epigenomics AG, a company that aims to commercialize the DNA methylation marker SHOX2. Volker Liebenberg and Dimo Dietrich are coinventors and own patents on methylation biomarkers and related technologies. Patents: “A Method for Amplification of Nucleic Acids” (WO2006113770), “A Method for the Carry-over Protection in DNA Amplification Systems Targeting Methylation Analysis Achieved by a Modified Pre-treatment of Nucleic Acids” (WO2006040187). These patents are commercially exploited by Epigenomics AG. Volker Liebenberg and Dimo Dietrich receive inventor’s compensation from Epigenomics AG. Michael Fleischhacker, Bernd Schmidt and Dimo Dietrich are coinventors of a patent. Patent: “Methods for assessing the treatment response of cancer patients and for treating cancer patients by analysing CpG methylation” (Application Number: 62076674, patent pending). There are no further patents, products in development or marketed products to declare. This does not alter the authors’ adherence to all the PLOS ONE policies on sharing data and materials."
"10.1371/journal.pone.0049539","plos one","2012-11-15T00:00:00Z","Somayeh Pouyanfard; Taravat Bamdad; Hamidreza Hashemi; Mojgan Bandehpour; Bahram Kazemi","Department of Virology, Faculty of Medical Sciences, Tarbiat Modares University, Tehran, Iran; Department of Medical Virology, School of Public Health, Tehran University of Medical Sciences, Tehran, Iran; Biotechnology Department, School of Medicine, Shahid Beheshti University of Medical Sciences, Tehran, Iran; Cellular and Molecular Research Center (CMRC), School of Medicine, Shahid Beheshti University of Medical Sciences, Tehran, Iran","Conceived and designed the experiments: SP TB HH BK. Performed the experiments: SP HH MB. Analyzed the data: SP HH. Contributed reagents/materials/analysis tools: TB MB BK. Wrote the paper: SP HH TB MB.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0072442","plos one","2013-08-29T00:00:00Z","Irina V Demina; Tomas Persson; Patricia Santos; Marian Plaszczyca; Katharina Pawlowski","Department of Botany, Stockholm University, Stockholm, Sweden; Department of Plant Pathology, Michigan State University, East Lansing, Michigan, United States of America","Conceived and designed the experiments: KP IVD TP. Performed the experiments: IVD TP. Analyzed the data: IVD KP MP PS TP. Contributed reagents/materials/analysis tools: MP. Wrote the paper: KP IVD TP MP.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0072440","plos one","2013-08-26T00:00:00Z","Hubert Kolb; Kathrin Lückemeyer; Tim Heise; Christian Herder; Nanette C Schloot; Wolfgang Koenig; Lutz Heinemann; Stephan Martin; on behalf of the DIATOR Study Group","West-German Centre of Diabetes and Health, Verbund Katholischer Kliniken Düsseldorf, Düsseldorf, Germany; Profil Institute for Metabolic Research, Neuss, Germany; Institute for Clinical Diabetology, German Diabetes Center, Leibniz Center for Diabetes Research at Heinrich Heine University, Düsseldorf, Germany; Department of Internal Medicine II - Cardiology, University of Ulm Medical Center, Ulm, Germany","Conceived and designed the experiments: HK SM. Performed the experiments: TH CH NCS WK LH SM. Analyzed the data: HK KL. Wrote the paper: HK KL. Conceived and designed the trial: HK SM. Conducted the trial and/or performed laboratory measurements: TH CH NCS LH WK SM. Conceived and performed the current analysis and wrote the paper: HK KL. Data interpretation, revision and final approval: all authors.","T. Heise is and L. Heinemann was employed by Profil Institute of Metabolic Research which was contracted to conduct the trial. N.C. Schloot is employed by Lilly Deutschland GmbH. Co-author C. Herder is an Academic Editor with PlOS ONE. The trial was supported by an unrestricted grant from Pfizer Pharma GmbH, Berlin, Germany. There are no patents, products in development or marketed products to declare. This does not alter the authors’ adherence to all the PLoS ONE policies on sharing data and materials."
"10.1371/journal.pone.0072461","plos one","2013-08-29T00:00:00Z","Suxia Guo; Jacques Mahillon","Laboratory of Food and Environmental Microbiology, Université Catholique de Louvain, Croix du Sud, Louvain-la-Neuve, Belgium","Conceived and designed the experiments: SG JM. Performed the experiments: SG. Analyzed the data: SG JM. Contributed reagents/materials/analysis tools: SG JM. Wrote the paper: SG JM.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0118213","plos one","2015-02-11T00:00:00Z","Zhimin Wang; Weng Lang Yang; Asha Jacob; Monowar Aziz; Ping Wang","Center for Translational Research, The Feinstein Institute for Medical Research, Manhasset, NY, United States of America; TheraSource LLC, Manhasset, NY, United States of America","Conceived and designed the experiments: PW WLY. Performed the experiments: ZW MA. Analyzed the data: ZW AJ WLY. Contributed reagents/materials/analysis tools: PW. Wrote the paper: ZW AJ WLY PW.","PW and WL are inventors of US provisional application #62/047,729: “Treatment of radiation injury using ghrelin”. The patent application covers the fundamental concept of using ghrelin for the treatment of radiation injury. TheraSource LLC holds the exclusive option to license the technology from the Feinstein Institute for Medical Research. PW is a co-founder of TheraSource LLC., and other authors (Z.W., W.L.Y., A.J.) are employed by TheraSource LLC. This does not alter the authors’ adherence to all PLOS ONE policies on sharing data and materials."
"10.1371/journal.pone.0072462","plos one","2013-08-20T00:00:00Z","Vu H Le; Narayana Nagesh; Edwin A Lewis","Department of Chemistry, Mississippi State University, Mississippi State, Mississippi, United States of America; Centre for Cellular and Molecular Biology, Hyderabad, Andhra Pradesh, India","Conceived and designed the experiments: VHL NN EAL. Performed the experiments: VHL NN. Analyzed the data: VHL NN EAL. Contributed reagents/materials/analysis tools: EAL. Wrote the manuscript: VHL NN EAL.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0038161","plos one","2012-05-30T00:00:00Z","Natalia V Demidenko; Aleksey A Penin","Department of Genetics, Biological faculty, Mikhail Vasilyevich (MV) Lomonosov Moscow State University, Moscow, Russia; Evolutionary Genomics Laboratory, Faculty of Bioengineering and Bioinformatics, Mikhail Vasilyevich (MV) Lomonosov Moscow State University, Moscow, Russia; A.A. Kharkevich Institute for Information Transmission Problems, Russian Academy of Science, Moscow, Russia","Conceived and designed the experiments: NVD AAP. Performed the experiments: NVD. Analyzed the data: NVD AAP. Contributed reagents/materials/analysis tools: AAP. Wrote the paper: NVD AAP.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0095087","plos one","2014-05-02T00:00:00Z","Carole G Campion; Marilyne Labrie; Andrée-Anne Grosset; Yves St-Pierre","INRS-Institut Armand-Frappier, Laval, Québec, Canada","Conceived and designed the experiments: CGC YSP. Performed the experiments: CGC ML AAG. Analyzed the data: CGC AAG ML YSP. Contributed reagents/materials/analysis tools: CGC AAG ML. Wrote the paper: CGC YSP. Helped to acquire funding: YSP.","Please note that Yves St-Pierre is a PLOS ONE Editorial Board member. This does not alter the authors' adherence to all the PLOS ONE policies on sharing data and materials."
"10.1371/journal.pone.0106697","plos one","2014-09-18T00:00:00Z","Karsten H Wrede; Sören Johst; Philipp Dammann; Neriman Özkan; Christoph Mönninghoff; Markus Kraemer; Stefan Maderwald; Mark E Ladd; Ulrich Sure; Lale Umutlu; Marc Schlamann","Erwin L. Hahn Institute for Magnetic Resonance Imaging, University Duisburg-Essen, Essen, Germany; Department of Neurosurgery, University Hospital Essen, Essen, Germany; Department of Diagnostic and Interventional Radiology and Neuroradiology, University Hospital Essen, Essen, Germany; Department of Neurology, Alfried Krupp von Bohlen und Halbach Hospital, Essen, Germany; Division of Medical Physics in Radiology (E020), German Cancer Research Center (DKFZ), Heidelberg, Germany","Conceived and designed the experiments: KHW SJ PD NÖ CM MK SM MEL US LU MS. Performed the experiments: KHW SJ PD NÖ CM MK SM MEL US LU MS. Analyzed the data: KHW SJ PD NÖ CM MK SM MEL US LU MS. Contributed reagents/materials/analysis tools: KHW SJ LU MS. Wrote the paper: KHW SJ PD NÖ CM MK SM MEL US LU MS.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0038164","plos one","2012-06-05T00:00:00Z","Xiao-Jun Tian; Feng Liu; Xiao-Peng Zhang; Jun Li; Wei Wang","National Laboratory of Solid State Microstructures and Department of Physics, Nanjing University, Nanjing, China","Conceived and designed the experiments: XJT FL XPZ. Performed the experiments: XJT. Analyzed the data: XJT FL XPZ JL WW. Contributed reagents/materials/analysis tools: FL WW. Wrote the paper: XJT FL.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0049548","plos one","2012-11-16T00:00:00Z","Shalu Verma-Kumar; David Abraham; Nandini Dendukuri; Jacob Varghese Cheeran; Raman Sukumar; Kithiganahalli Narayanaswamy Balaji","Department of Microbiology and Cell Biology, Indian Institute of Science, Bangalore, Karnataka, India; Centre for Ecological Sciences, Indian Institute of Science, Bangalore, Karnataka, India; Asian Nature Conservation Foundation, Bangalore, Karnataka, India; Department of Medicine, McGill University, Montreal, Quebec, Canada; Department of Epidemiology, Biostatistics and Occupational Health, McGill University, Montreal, Quebec, Canada; Cheerans Lab (P) Limited, Thrissur, Kerala, India","Conceived and designed the experiments: SVK DA KNB RS. Performed the experiments: SVK DA. Analyzed the data: ND SVK. Contributed reagents/materials/analysis tools: RS JVC ND KNB. Wrote the paper: SVK ND DA RS KNB.","Jacob Varghese Cheeran is employed by Cheerans Lab (P) Limited. This does not alter the authors' adherence to all the PLOS ONE policies on sharing data and materials. Cheerans Lab (P) Limited had no role in developing the serological tests described in the current investigation."
"10.1371/journal.pone.0038159","plos one","2012-06-08T00:00:00Z","Lavanya Sivakumar; Matthias Dehmer","Institute of Mathematical Sciences, Chennai, India; Institute for Bioinformatics and Translational Research, UMIT, Hall in Tyrol, Austria","Wrote the paper: LS MD. Performed the mathematical analysis: LS MD.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0083791","plos one","2013-12-26T00:00:00Z","Fu-Jou Lai; Chia-Chun Chiu; Tzu-Hsien Yang; Yueh-Min Huang; Wei-Sheng Wu","Department of Engineering Science, National Cheng Kung University, Tainan, Taiwan; Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan","Conceived and designed the experiments: FJ WS. Performed the experiments: FJ TH. Analyzed the data: FJ WS. Contributed reagents/materials/analysis tools: TH YM. Wrote the paper: FJ WS. Developed the web interface: CC FJ.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0038160","plos one","2012-05-31T00:00:00Z","Eric D Leshikar; Audrey Duarte; Christopher Hertzog","Department of Psychology, Brandeis University, Waltham, Massachusetts, United States of America; School of Psychology, Georgia Institute of Technology, Atlanta, Georgia, United States of America","Conceived and designed the experiments: EDL AD CH. Performed the experiments: EDL. Analyzed the data: EDL AD CH. Wrote the paper: EDL AD CH.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0049557","plos one","2012-11-14T00:00:00Z","Elisabet Jerlhag; Anna Carin Janson; Susanna Waters; Jörgen A Engel","Section for Pharmacology, Institute of Neuroscience and Physiology, The Sahlgrenska Academy at the University of Gothenburg, Gothenburg, Sweden; NeuroSearch Sweden AB, Gothenburg, Sweden","Conceived and designed the experiments: EJ JAE. Performed the experiments: EJ ACJ. Analyzed the data: EJ ACJ. Contributed reagents/materials/analysis tools: EJ ACJ. Wrote the paper: EJ ACJ SW JAE.","Susanna Waters and Anna Carin Jansson are employees of NeuroSearch Sweden AB, but have no competing interests in regards to the present manuscript. Jörgen A Engel and Elisabet Jerlhag are board members of Abunon AB, owning a patent regarding treating chemical substance addiction by administering a compound that blocks ghrelin action. However, this does not alter the authors' adherence to all PLOS ONE policies on sharing data and materials."
"10.1371/journal.pone.0083790","plos one","2013-12-30T00:00:00Z","Mohammad Zaim; Ashif Ali; Jomon Joseph; Feroz Khan","Crop Protection Division, CSIR-Central Institute of Medicinal and Aromatic Plants, Lucknow, India; National Centre for Cell Science, Ganeshkhind, Pune, India; Plant Biology Division, CSIR-Central Institute of Medicinal and Aromatic Plants, Lucknow, India","Conceived and designed the experiments: MZ JJ. Performed the experiments: MZ AA. Analyzed the data: MZ JJ FK. Contributed reagents/materials/analysis tools: MZ JJ FK. Wrote the paper: MZ FK AA JJ.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0026615","plos one","2011-10-24T00:00:00Z","Su-Hyeong Kim; Anuradha Sehrawat; Kozue Sakao; Eun-Ryeong Hahm; Shivendra V Singh","Department of Pharmacology and Chemical Biology, and University of Pittsburgh Cancer Institute, University of Pittsburgh School of Medicine, Pittsburgh, Pennsylvania, United States of America","Conceived and designed the experiments: SHK AS SVS. Performed the experiments: SHK AS KS ERH. Analyzed the data: SHK AS KS ERH SVS. Wrote the paper: SHK AS SVS.","The authors have declared that no competing interests exist."
