"id","journal","publication_date","author","author_affiliate","author_notes","competing_interest"
"10.1371/journal.pbio.0050332","plos biology","2007-12-27T00:00:00Z","James W Erickson; Jerome J Quintero","Department of Biology, Texas A&M University, College Station, Texas, United States of America","JWE conceived and designed the experiments and wrote the paper. JWE and JJQ performed the experiments and analyzed the data.","The authors have declared that no competing interests exist."
"10.1371/journal.pgen.1003886","plos genetics","2013-10-17T00:00:00Z","Aleksandar Vjestica; Dan Zhang; Jianhua Liu; Snezhana Oliferenko","Temasek Life Sciences Laboratory, Singapore; Department of Biological Sciences, National University of Singapore, Singapore; Genome Institute of Singapore, Singapore","Conceived and designed the experiments: AV JL DZ SO. Performed the experiments: AV DZ. Analyzed the data: AV DZ JL SO. Contributed reagents/materials/analysis tools: AV DZ JL SO. Wrote the paper: AV SO.","The authors have declared that no competing interests exist."
"10.1371/journal.pgen.1003885","plos genetics","2013-10-31T00:00:00Z","Anita Ciurciu; Louise Duncalf; Vincent Jonchere; Nick Lansdale; Olga Vasieva; Peter Glenday; Andreii Rudenko; Emese Vissi; Neville Cobbe; Luke Alphey; Daimark Bennett","Institute of Integrative Biology, University of Liverpool, Liverpool, United Kingdom; Department of Zoology, Oxford University, Oxford, United Kingdom","Conceived and designed the experiments: AC LD VJ AR LA DB. Performed the experiments: AC LD NL PG AR EV DB. Analyzed the data: AC LD VJ OV NC DB. Contributed reagents/materials/analysis tools: LA DB. Wrote the paper: DB. Revised and approved the final version: AC LD VJ NL OV PG AR EV NC LA DB.","The authors have declared that no competing interests exist."
"10.1371/journal.pbio.0050331","plos biology","2007-12-27T00:00:00Z","Xaq Pitkow; Haim Sompolinsky; Markus Meister","Program in Biophysics, Harvard University, Cambridge, Massachusetts, United States of America; Racah Institute of Physics and Center for Neural Computation, Hebrew University, Jerusalem, Israel; Center for Brain Science, Harvard University, Cambridge, Massachusetts, United States of America; Department of Molecular and Cellular Biology, Harvard University, Cambridge, Massachusetts, United States of America","XP, HS, and MM conceived and designed the experiments, analyzed the data, and wrote the paper. XP performed the experiments.","The authors have declared that no competing interests exist."
"10.1371/journal.pbio.0050328","plos biology","2007-12-18T00:00:00Z","Jessica F Cantlon; Elizabeth M Brannon","Department of Psychology and Neuroscience, Center for Cognitive Neuroscience, Duke University, Durham, North Carolina, United States of America","JFC conceived, conducted, and designed the experiments, analyzed the data, and wrote the paper. EMB conceived and designed the experiments and wrote the paper.","The authors have declared that no competing interests exist."
"10.1371/journal.pgen.1003915","plos genetics","2013-10-31T00:00:00Z","Grégory Jubelin; Anne Lanois; Dany Severac; Stéphanie Rialle; Cyrille Longin; Sophie Gaudriault; Alain Givaudan","INRA, UMR 1333 Laboratoire DGIMI, Montpellier, France; Université Montpellier 2, UMR 1333 Laboratoire DGIMI, Montpellier, France; MGX-Montpellier GenomiX, c/o IGF-Institut de Génomique Fonctionnelle, Montpellier, France; CEA, Genoscope & CNRS-UMR 8030, Laboratoire d'Analyse Bioinformatique en Génomique et Métabolisme, Evry, France","Conceived and designed the experiments: AG GJ AL. Performed the experiments: AL GJ DS. Analyzed the data: AG GJ SG. Contributed reagents/materials/analysis tools: SR CL. Wrote the paper: GJ AL AG.","The authors have declared that no competing interests exist."
"10.1371/journal.pbio.0060027","plos biology","2008-02-12T00:00:00Z","Xiao-yong Li; Stewart MacArthur; Richard Bourgon; David Nix; Daniel A Pollard; Venky N Iyer; Aaron Hechmer; Lisa Simirenko; Mark Stapleton; Cris L Luengo Hendriks; Hou Cheng Chu; Nobuo Ogawa; William Inwood; Victor Sementchenko; Amy Beaton; Richard Weiszmann; Susan E Celniker; David W Knowles; Tom Gingeras; Terence P Speed; Michael B Eisen; Mark D Biggin","Genomics Division, Lawrence Berkeley National Laboratory, Berkeley, California, United States of America; Statistics Department, University of California Berkeley, Berkeley, California, United States of America; Biophysics Graduate Group, University of California Berkeley, Berkeley, California, United States of America; Department of Molecular and Cell Biology, University of California Berkeley, Berkeley, California, United States of America; Life Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, California, United States of America; Affymetrix, Inc., Santa Clara, California, United States of America; Center for Integrative Genomics, University of California Berkeley, Berkeley, California, United States of America; California Institute for Quantitative Biosciences, Berkeley, California, United States of America","XL, SM, MBE, and MDB conceived and designed the experiments and analyses and wrote the paper. XL, HCC, WI performed the experiments. XL, SM, RB. DN, DAP, VNI, AH, CLLH, MBE, and MDB analyzed the data. DAP, VNI, AH, LS, MS, CLLH, HCC, NO, WI, VS, AB, RW, SEC, DWK, TG, TPS, MBE, and MDB contributed reagents/materials/analysis tools.","The authors have declared that no competing interests exist."
"10.1371/journal.pbio.0060026","plos biology","2008-02-05T00:00:00Z","Ting-Wei Mu; Douglas M Fowler; Jeffery W Kelly","Department of Chemistry and The Skaggs Institute for Chemical Biology, The Scripps Research Institute, La Jolla, California, United States of America","TWM and JWK conceived and designed the experiments. TWM and DMF performed the experiments and analyzed the data. TWM and JWK wrote the paper.","The authors have declared that no competing interests exist."
"10.1371/journal.pgen.1003914","plos genetics","2013-11-14T00:00:00Z","Dominik M Meinel; Cornelia Burkert-Kautzsch; Anja Kieser; Eoghan O'Duibhir; Matthias Siebert; Andreas Mayer; Patrick Cramer; Johannes Söding; Frank C P Holstege; Katja Sträßer","Gene Center and Munich Center for Integrated Protein Science CIPSM at the Department of Biochemistry of the Ludwig-Maximilians-University of Munich, Munich, Germany; Molecular Cancer Research, University Medical Center Utrecht, Utrecht, the Netherlands","Conceived and designed the experiments: DMM CBK FCPH KS. Performed the experiments: DMM CBK AK EO. Analyzed the data: DMM CBK MS AM JS FCPH KS. Contributed reagents/materials/analysis tools: MS JS. Wrote the paper: DMM CBK KS. Participated in substantial discussion of all experiments and results: PC.","The authors have declared that no competing interests exist."
"10.1371/journal.pbio.0060025","plos biology","2008-01-29T00:00:00Z","Devi Stuart-Fox; Adnan Moussalli","School of Animal, Plant, and Environmental Sciences, University of the Witwatersrand, Johannesburg, South Africa; Department of Zoology, The University of Melbourne, Melbourne, Australia; School of Biological and Conservation Sciences, University of KwaZulu Natal, Pietermaritzburg, South Africa; Department of Sciences, Museum Victoria, Melbourne, Australia","DSF and AM did all field work and spectroradiometry, discussed the results, and fine-tuned the manuscript. AM did phylogenetic analysis of Genbank sequence data, and wrote a program automating visual modelling. DSF analysed spectral data, did comparative analysis, and wrote the paper.","The authors have declared that no competing interests exist."
"10.1371/journal.pbio.0060028","plos biology","2008-02-05T00:00:00Z","Fabien Leprieur; Olivier Beauchard; Simon Blanchet; Thierry Oberdorff; Sébastien Brosse","Laboratoire Evolution and Diversité Biologique, UMR 5174, CNRS-Université Paul Sabatier, Toulouse, France; Faculty of Sciences, Department of Biology, Ecosystem Management Research Group University of Antwerp, Antwerpen (Wilrijk), Belgium; Département de Biologie, Centre Interuniversitaire de Recherche sur le Saumon Atlantique (CIRSA) and Québec-Océan, Université Laval, Sainte-Foy, Quebec City, Quebec, Canada; Institut de Recherche pour le Développement (UR131), Antenne au Muséum National d'Histoire Naturelle, Paris, France","F. Leprieur, O. Beauchard, S. Blanchet, and S. Brosse conceived and designed the experiments, performed the experiments, and analyzed the data. F. Leprieur, O. Beauchard, S. Blanchet, T. Oberdorff, and S. Brosse contributed reagents/materials/analysis tools and wrote the paper.","The authors have declared that no competing interests exist."
"10.1371/journal.pgen.1003922","plos genetics","2013-11-14T00:00:00Z","Jan Drouaud; Hossein Khademian; Laurène Giraut; Vanessa Zanni; Sarah Bellalou; Ian R Henderson; Matthieu Falque; Christine Mézard","Institut Jean-Pierre Bourgin UMR1318 INRA-AgroParisTech, Versailles, France; Department of Plant Sciences, University of Cambridge, Cambridge, United Kingdom; UMR de Génétique Végétale du Moulon, INRA/CNRS/Univ Paris-Sud/AgroParisTech, Ferme du Moulon, Gif sur Yvette, France","Conceived and designed the experiments: JD HK CM. Performed the experiments: JD HK LG VZ SB CM. Analyzed the data: JD HK MF CM. Contributed reagents/materials/analysis tools: IRH MF. Wrote the paper: JD CM.","The authors have declared that no competing interests exist."
"10.1371/journal.pbio.0060032","plos biology","2008-02-19T00:00:00Z","Corinne Loeuillet; Samuel Deutsch; Angela Ciuffi; Daniel Robyr; Patrick Taffé; Miguel Muñoz; Jacques S Beckmann; Stylianos E Antonarakis; Amalio Telenti","Institute of Microbiology, University Hospital, University of Lausanne, Lausanne, Switzerland; Department of Genetic Medicine and Development, University of Geneva Medical School and University Hospital of Geneva, Geneva, Switzerland; Swiss HIV Cohort Study, Lausanne, Switzerland; Department of Medical Genetics, University Hospital and University of Lausanne, Lausanne, Switzerland","CL, SD, AC, DR, JSB, SEA, and AT conceived and designed the experiments. CL, SD, AC, DR, and MM performed the experiments. CL, SD, AC, DR, PT, SEA, and AT analyzed the data. CL, SD, AC, JSB, SEA, and AT wrote the paper.","The authors have declared that no competing interests exist."
"10.1371/journal.pgen.1003919","plos genetics","2013-10-31T00:00:00Z","David M Evans; Marie Jo A Brion; Lavinia Paternoster; John P Kemp; George McMahon; Marcus Munafò; John B Whitfield; Sarah E Medland; Grant W Montgomery; The GIANT consortium; The CRP consortium; The TAG Consortium; Nicholas J Timpson; Beate St. Pourcain; Debbie A Lawlor; Nicholas G Martin; Abbas Dehghan; Joel Hirschhorn; George Davey Smith","MRC Integrative Epidemiology Unit, University of Bristol, Bristol, United Kingdom; School of Social and Community Medicine, University of Bristol, Bristol, United Kingdom; University of Queensland Diamantina Institute, Translational Research Institute, Brisbane, Queensland, Australia; Broad Institute at MIT and Harvard, Cambridge, Massachusetts, United States of America; Queensland Brain Institute, University of Queensland, Brisbane, Australia; UK Centre for Tobacco and Alcohol Studies, School of Experimental Psychology, University of Bristol, Bristol, United Kingdom; QIMR Berghofer Medical Research Institute, Brisbane, Australia; Department of Epidemiology, Erasmus Medical Centre, Rotterdam, The Netherlands; Division of Genetics and Endocrinology and Program in Genomics, Children's Hospital, Boston, Massachusetts, United States of America; Department of Genetics, Harvard Medical School, Boston, Massachusetts","¶ Membership of the GIANT consortium, the CRP consortium, and the TAG Consortium is provided in the Supporting Information.","The authors have declared that no competing interests exist."
"10.1371/journal.pgen.1003913","plos genetics","2013-10-24T00:00:00Z","Gustavo Stadthagen; Disa Tehler; Nina Molin Høyland-Kroghsbo; Jiayu Wen; Anders Krogh; Klaus T Jensen; Eric Santoni-Rugiu; Lars H Engelholm; Anders H Lund","Biotech Research and Innovation Centre (BRIC), University of Copenhagen, Copenhagen, Denmark; Bioinformatics Centre Department of Biology, University of Copenhagen, Copenhagen, Denmark; Department of Pathology, Diagnostic Centre, Rigshospitalet, Copenhagen, Denmark; The Finsen Laboratory, Rigshospitalet, Faculty of Health Sciences, University of Copenhagen, Copenhagen, Denmark","Conceived and designed the experiments: GS DT NMHK AHL. Performed the experiments: GS DT NMHK KTJ LHE. Analyzed the data: GS DT NMHK JW AK ESR LHE AHL. Wrote the paper: GS DT AHL.","The authors have declared that no competing interests exist."
